# x_m,y_m,w_tr_right_m,w_tr_left_m
-21.850884,207.388080,10.201479,9.595008
-18.766551,203.468723,10.364637,9.519353
-15.566056,199.625498,10.162777,9.715247
-12.264635,195.848552,9.958970,9.909111
-8.845422,192.175717,9.777872,10.056400
-5.281862,188.659228,9.869639,9.652403
-1.547396,185.351320,9.958162,9.249661
2.382958,182.301924,10.031200,8.914109
6.503839,179.516528,10.007237,9.107115
10.782485,176.960492,9.984182,9.301201
15.185151,174.597735,9.959136,9.497278
19.678111,172.392211,9.972109,9.520101
24.236886,170.325627,10.022015,9.390647
28.861307,168.426337,10.070008,9.261116
33.555147,166.730265,10.118105,9.133470
38.322169,165.273296,10.134971,9.072851
43.161430,164.073738,10.097106,9.130604
48.059771,163.104285,10.059583,9.190002
53.002079,162.330334,10.023284,9.248177
57.973240,161.717281,9.985306,9.306043
62.958721,161.235559,9.973293,9.254417
67.949041,160.899611,9.972196,9.150111
72.937332,160.746598,9.972141,9.044763
77.916747,160.813874,9.971861,8.939640
82.880485,161.138232,9.874767,8.937297
87.824193,161.727275,9.664295,9.056289
92.747113,162.545743,9.452788,9.174325
97.648775,163.554954,9.242264,9.293367
102.528707,164.716225,9.289277,9.204591
107.382695,166.001915,9.535478,8.956401
112.189441,167.434817,9.781660,8.708230
116.922767,169.052110,9.709360,8.786497
121.556500,170.890975,9.521584,8.982227
126.065473,172.986694,9.333748,9.178019
130.442349,175.341106,9.290510,9.163584
134.695027,177.927455,9.385480,8.947301
138.831898,180.718063,9.480909,8.730559
142.861353,183.685253,9.574308,8.515848
146.791784,186.801349,9.343591,8.684914
150.631580,190.038673,9.105999,8.860856
154.389133,193.369549,8.870926,9.038255
158.072834,196.766299,8.836022,8.953836
161.689342,200.205596,8.901248,8.743433
165.231060,203.699939,8.965599,8.533904
168.683377,207.279443,8.898695,8.676380
172.031633,210.974349,8.823486,8.843070
175.263546,214.812008,8.747796,9.010242
178.478360,218.684238,8.670029,9.177501
181.928830,222.296075,8.593391,9.345621
185.713652,225.529164,8.601076,9.359813
189.699840,228.531726,8.716392,9.188812
193.797174,231.395524,8.829390,9.016152
197.999260,234.105758,8.866615,9.006769
202.305907,236.639745,8.811227,9.193413
206.716924,238.974801,8.754812,9.379096
211.232120,241.088244,8.707619,9.527714
215.851303,242.957391,8.701037,9.456735
220.574282,244.559558,8.696317,9.387873
225.400865,245.872063,8.685701,9.326894
230.328435,246.871339,8.604328,9.455997
235.315038,247.519485,8.523100,9.586943
240.286960,247.767150,8.441305,9.716468
245.207685,247.611371,8.428785,9.784672
250.130243,247.158933,8.684141,9.606877
255.090587,246.496508,8.942163,9.430392
260.055219,245.627540,9.198928,9.251188
264.980825,244.543710,9.239771,9.295860
269.824162,243.236730,9.075315,9.549809
274.559568,241.706192,8.910114,9.804503
279.201878,239.969840,8.745770,10.060329
283.771607,238.047964,8.869787,9.828920
288.289271,235.960852,8.996804,9.594512
292.770386,233.725484,9.121440,9.360495
297.192682,231.333807,9.198334,9.202063
301.516616,228.766327,9.046031,9.398119
305.702559,226.003491,8.895022,9.594868
309.711625,223.026334,8.742096,9.791547
313.534697,219.839369,8.662119,9.913287
317.201817,216.477998,8.838809,9.776372
320.745695,212.979721,9.014143,9.638824
324.199039,209.382042,9.190964,9.499788
327.591607,205.718886,9.355052,9.425193
330.941284,202.009777,9.490290,9.492805
334.262967,198.270620,9.624169,9.559789
337.571551,194.517317,9.759932,9.626876
340.879425,190.763099,9.710109,9.591184
344.188939,187.010498,9.659943,9.553845
347.499933,183.259371,9.609798,9.516487
350.812250,179.509578,9.560040,9.480729
354.125729,175.760977,9.509937,9.443328
357.440212,172.013425,9.459855,9.405906
360.755540,168.266781,9.410163,9.370082
364.071554,164.520903,9.360124,9.332617
367.388095,160.775649,9.310108,9.295129
370.705003,157.030878,9.260484,9.259238
374.022120,153.286448,9.210512,9.221706
377.339287,149.542217,9.160561,9.184152
380.656344,145.798043,9.111008,9.148190
383.973133,142.053784,9.061103,9.110590
387.289495,138.309299,9.011222,9.072968
390.605271,134.564446,8.961740,9.036934
393.920301,130.819083,8.911905,8.999265
397.234427,127.073068,8.862094,8.961572
400.547489,123.326260,8.812686,8.925465
403.859329,119.578516,8.762923,8.887723
407.169788,115.829696,8.713185,8.849958
410.478706,112.079656,8.663852,8.813775
413.785925,108.328256,8.614163,8.775960
417.091285,104.575354,8.564499,8.738120
420.394628,100.820807,8.515244,8.701859
423.695794,97.064475,8.509687,8.697472
426.994625,93.306215,8.502920,8.694296
430.290962,89.545885,8.497749,8.691512
433.584644,85.783344,8.490983,8.688335
436.875515,82.018450,8.485428,8.683946
440.163414,78.251061,8.478663,8.680767
443.448182,74.481036,8.473494,8.677981
